Bangalicon FREE Manifest
Generated: 2026-08-11T13:02:08.414Z
CDN CSS: http://localhost:5000/cdn/free/bangalicon-free.css
Total icons: 520

bg-add | regular | free | \e908 | http://localhost:5000/cdn/free/icons/add.svg
bg-arrow-out-right | regular | free | \e959 | http://localhost:5000/cdn/free/icons/arrow-out-right.svg
bg-arrow-out-up | regular | free | \e95a | http://localhost:5000/cdn/free/icons/arrow-out-up.svg
bg-arrow-right | regular | free | \e95b | http://localhost:5000/cdn/free/icons/arrow-right.svg
bg-arrow-right-circle | regular | free | \e95c | http://localhost:5000/cdn/free/icons/arrow-right-circle.svg
bgs-arrow-right-circle | solid | free | \e95d | http://localhost:5000/cdn/free/icons/arrow-right-circle--solid.svg
bg-arrow-start-down | regular | free | \e95e | http://localhost:5000/cdn/free/icons/arrow-start-down.svg
bg-arrow-start-left | regular | free | \e95f | http://localhost:5000/cdn/free/icons/arrow-start-left.svg
bg-arrow-start-right | regular | free | \e960 | http://localhost:5000/cdn/free/icons/arrow-start-right.svg
bg-arrow-start-up | regular | free | \e961 | http://localhost:5000/cdn/free/icons/arrow-start-up.svg
bg-arrow-up | regular | free | \e962 | http://localhost:5000/cdn/free/icons/arrow-up.svg
bg-arrow-up-circle | regular | free | \e963 | http://localhost:5000/cdn/free/icons/arrow-up-circle.svg
bgs-arrow-up-circle | solid | free | \e964 | http://localhost:5000/cdn/free/icons/arrow-up-circle--solid.svg
bg-arrow-up-left | regular | free | \e965 | http://localhost:5000/cdn/free/icons/arrow-up-left.svg
bg-arrow-up-left-circle | regular | free | \e966 | http://localhost:5000/cdn/free/icons/arrow-up-left-circle.svg
bgs-arrow-up-left-circle | solid | free | \e967 | http://localhost:5000/cdn/free/icons/arrow-up-left-circle--solid.svg
bg-arrow-up-right | regular | free | \e968 | http://localhost:5000/cdn/free/icons/arrow-up-right.svg
bg-arrow-up-right-circle | regular | free | \e969 | http://localhost:5000/cdn/free/icons/arrow-up-right-circle.svg
bgs-arrow-up-right-circle | solid | free | \e96a | http://localhost:5000/cdn/free/icons/arrow-up-right-circle--solid.svg
bgl-behance | brand | free | \e96b | http://localhost:5000/cdn/free/icons/behance--brand.svg
